a,b,c,d,e,f,g,h,i,j,class
0.076,0.78,0.438,0.723,0.978,0.538,0.501,0.072,0.268,0.5,1
0.679,0.804,0.381,0.066,0.288,0.91,0.213,0.452,0.931,0.025,0
0.601,0.95,0.23,0.548,0.909,0.133,0.523,0.75,0.669,0.468,0
0.205,0.491,0.372,0.477,0.366,0.838,0.769,0.314,0.573,0.276,0
0.453,0.353,0.657,0.37,0.459,0.719,0.413,0.906,0.18,0.741,0
0.422,0.426,0.634,0.523,0.415,0.001,0.092,0.709,0.524,0.696,1
0.955,0.683,0.053,0.309,0.593,0.235,0.965,0.945,0.848,0.472,1
0.841,0.131,0.309,0.463,0.742,0.486,0.137,0.344,0.324,0.3,1
0.166,0.415,0.448,0.775,0.796,0.522,0.461,0.778,0.887,0.675,0
0.8,0.939,0.041,0.876,0.277,0.476,0.797,0.717,0.147,0.659,1
0.069,0.357,0.813,0.428,0.6,0.728,0.821,0.761,0.007,0.42,1
0.463,0.055,0.541,0.608,0.828,0.942,0.128,0.23,0.659,0.132,0
0.224,0.575,0.17,0.782,0.857,0.034,0.533,0.797,0.975,0.274,0
0.169,0.877,0.909,0.198,0.442,0.719,0.845,0.168,0.665,0.808,1
0.55,0.165,0.036,0.282,0.808,0.045,0.008,0.362,0.064,0.149,0
0.023,0.525,0.697,0.427,0.135,0.331,0.59,0.941,0.993,0.242,1
0.011,0.831,0.927,0.459,0.771,0.866,0.61,0.873,0.024,0.272,1
0.277,0.121,0.911,0.03,0.673,0.071,0.361,0.418,0.181,0.521,1
0.535,0.317,0.737,0.16,0.193,0.355,0.378,0.206,0.919,0.828,1
0.107,0.369,0.233,0.451,0.276,0.502,0.923,0.383,0.65,0.596,0
0.752,0.062,0.745,0.946,0.604,0.288,0.672,0.712,0.656,0.147,1
0.973,0.955,0.425,0.594,0.04,0.989,0.819,0.637,0.761,0.188,0
0.308,0.246,0.596,0.092,0.896,0.462,0.445,0.105,0.685,0.817,0
0.63,0.242,0.785,0.146,0.827,0.581,0.289,0.513,0.629,0.259,1
0.847,0.421,0.892,0.835,0.099,0.646,0.31,0.754,0.543,0.458,0
0.895,0.057,0.557,0.328,0.035,0.754,0.562,0.894,0.598,0.337,1
0.985,0.116,0.053,0.733,0.371,0.361,0.877,0.327,0.889,0.644,0
0.329,0.06,0.245,0.968,0.405,0.16,0.298,0.9,0.165,0.778,1
0.135,0.961,0.53,0.043,0.931,0.358,0.731,0.524,0.093,0.106,1
0.149,0.161,0.053,0.047,0.948,0.091,0.508,0.119,0.215,0.763,0
0.938,0.47,0.006,0.999,0.048,0.389,0.539,0.892,0.823,0.609,1
0.399,0.834,0.869,0.872,0.718,0.098,0.299,0.486,0.505,0.833,0
0.238,0.665,0.374,0.775,0.196,0.477,0.104,0.212,0.935,0.316,1
0.893,0.524,0.039,0.793,0.052,0.827,0.009,0.674,0.166,0.343,1
0.953,0.486,0.657,0.741,0.11,0.839,0.914,0.155,0.546,0.284,0
0.741,0.028,0.513,0.793,0.735,0.108,0.833,0.238,0.808,0.497,0
0.161,0.734,0.808,0.699,0.965,0.256,0.236,0.147,0.539,0.399,1
0.357,0.46,0.275,0.004,0.472,0.276,0.45,0.929,0.179,0.637,1
0.644,0.281,0.471,0.97,0.342,0.712,0.84,0.361,0.99,0.626,1
0.501,0.715,0.424,0.712,0.275,0.927,0.542,0.242,0.437,0.895,1
0.807,0.484,0.352,0.376,0.981,0.112,0.889,0.858,0.224,0.349,0
0.57,0.802,0.95,0.992,0.281,0.192,0.488,0.558,0.657,0.108,0
0.646,0.921,0.915,0.944,0.922,0.961,0.049,0.916,0.271,0.321,1
0.459,0.955,0.605,0.353,0.374,0.905,0.822,0.138,0.249,0.372,1
0.217,0.563,0.224,0.575,0.936,0.849,0.099,0.207,0.413,0.646,1
0.387,0.252,0.345,0.204,0.862,0.697,0.411,0.7,0.52,0.526,0
0.367,0.488,0.986,0.784,0.828,0.124,0.504,0.367,0.089,0.395,0
0.074,0.234,0.799,0.686,0.699,0.079,0.164,0.022,0.098,0.101,0
0.96,0.894,0.204,0.254,0.961,0.57,0.369,0.467,0.272,0.584,1
0.725,0.515,0.821,0.113,0.604,0.99,0.149,0.495,0.63,0.338,1
0.965,0.485,0.479,0.903,0.016,0.869,0.129,0.379,0.488,0.477,1
0.039,0.317,0.357,0.956,0.917,0.584,0.933,0.864,0.376,0.117,1
0.607,0.323,0.01,0.981,0.969,0.537,0.618,0.669,0.927,0.468,0
0.583,0.227,0.242,0.522,0.229,0.03,0.368,0.75,0.277,0.863,0
0.703,0.653,0.892,0.074,0.179,0.909,0.907,0.078,0.774,0.015,0
0.135,0.11,0.294,0.388,0.911,0.436,0.124,0.272,0.006,0.028,1
0.431,0.512,0.25,0.38,0.103,0.659,0.393,0.162,0.497,0.208,0
0.292,0.124,0.781,0.279,0.956,0.405,0.155,0.705,0.734,0.881,1
0.132,0.79,0.86,0.305,0.454,0.62,0.246,0.871,0.699,0.857,1
0.45,0.519,0.194,0.314,0.73,0.959,0.152,0.051,0.067,0.435,0
0.793,0.225,0.477,0.515,0.838,0.164,0.015,0.507,0.355,0.292,0
0.772,0.683,0.084,0.548,0.798,0.91,0.0,0.808,0.043,0.682,1
0.598,0.952,0.632,0.07,0.67,0.255,0.832,0.031,0.324,0.676,1
0.156,0.646,0.697,0.734,0.875,0.413,0.142,0.26,0.39,0.055,1
