a,b,c,true_class,predicted_class
-1.2546,4.50714,2.31994,1.0,1.0
0.98658,-3.43981,-3.44005,0.0,0.0
-4.41916,3.66176,1.01115,1.0,1.0
2.08073,-4.79416,4.6991,0.0,0.0
3.32443,-2.87661,-3.18175,1.0,1.0
-3.16595,-1.95758,0.24756,1.0,1.0
-0.68055,-2.08771,1.11853,1.0,1.0
-3.60506,-2.07855,-1.33638,0.0,0.0
-0.4393,2.85176,-3.00326,1.0,1.0
0.14234,0.92415,-4.5355,0.0,0.0
1.07545,-3.29476,-4.34948,0.0,0.0
4.48886,4.65632,3.08397,1.0,1.0
-1.95386,-4.02328,1.84233,1.0,1.0
-0.59848,-3.77962,-0.04823,1.0,1.0
-4.65611,4.0932,-2.4122,0.0,0.0
1.62522,-1.88289,0.20068,1.0,1.0
0.4671,-3.15146,4.69585,0.0,0.0
2.75133,4.39499,3.94827,0.0,0.0
0.979,4.21874,-4.11507,1.0,1.0
-3.04017,-4.54773,-1.7467,0.0,0.0
-1.11323,-2.28651,3.28738,1.0,1.0
-1.43247,-2.19065,0.42696,0.0,0.0
-3.59076,3.02197,-4.25449,0.0,0.0
4.86887,2.72245,-3.01284,1.0,1.0
-4.94478,3.15461,2.06857,1.0,1.0
2.29007,2.7127,-4.25955,0.0,0.0
-1.41534,-3.84131,3.63103,0.0,0.0
1.23298,-1.69102,-4.36442,1.0,1.0
-1.89018,-1.74817,2.29606,0.0,0.0
1.37557,3.87213,-0.27785,0.0,0.0
-3.80406,2.13245,2.60785,1.0,1.0
0.61277,2.70967,-0.06204,0.0,0.0
0.22733,-0.72459,-4.74581,1.0,1.0
-3.92109,-4.68571,1.3641,1.0,1.0
-1.85644,0.08571,4.07566,1.0,1.0
-2.50708,-0.89617,2.55551,0.0,0.0
-2.71202,-4.2302,-2.10249,1.0,1.0
-3.38779,4.29698,3.0812,0.0,0.0
1.33404,3.71461,3.03672,0.0,0.0
-3.1343,3.92559,0.39342,0.0,0.0
3.0744,3.96091,-1.81997,0.0,0.0
-3.89948,-2.72065,-0.72892,0.0,0.0
3.18015,3.60731,-4.93048,1.0,1.0
0.10747,-0.82589,-2.77892,0.0,0.0
-3.80135,-1.62385,4.4291,0.0,0.0
-1.76797,0.18791,2.03019,1.0,1.0
-1.3637,4.71782,4.62447,0.0,0.0
-2.48218,-0.02751,-1.99122,1.0,1.0
-2.1516,-4.63113,1.09564,1.0,1.0
0.02679,-4.48521,-2.21354,1.0,1.0
4.08266,-2.60438,-3.55105,0.0,0.0
-0.10547,4.8565,-2.57945,1.0,1.0
1.72136,2.6162,-2.62362,1.0,1.0
2.28216,-1.32217,1.32306,1.0,1.0
1.3353,0.35775,-4.0971,0.0,0.0
3.35302,-1.7922,-3.13481,1.0,1.0
-4.59225,0.90893,1.77564,1.0,1.0
-4.83412,0.12093,-2.73504,0.0,0.0
1.45173,-3.25634,1.90938,1.0,1.0
-1.13265,4.3673,-3.62479,1.0,1.0
-1.58934,-3.86526,4.24694,1.0,1.0
3.77339,-2.42058,1.59984,0.0,0.0
3.17222,0.55201,0.29651,1.0,1.0
-2.58148,-4.06897,3.97216,0.0,0.0
4.00418,1.33101,-1.6097,1.0,1.0
-1.5079,2.25956,3.9711,0.0,0.0
3.87086,2.79876,1.42032,0.0,0.0
-4.1586,-3.38371,3.98554,0.0,0.0
1.06429,-4.90803,-3.98528,1.0,1.0
1.63502,-4.94938,-3.39192,1.0,1.0
0.48734,1.91895,1.51961,0.0,1.0
-2.75731,2.12179,-2.62751,0.0,0.0
-1.746,2.46491,1.49633,0.0,0.0
3.49223,1.57613,0.68309,1.0,1.0
-4.06325,-1.32284,-2.34798,0.0,0.0
-2.5601,4.73011,-1.06902,0.0,0.0
3.92047,1.31139,2.94811,1.0,1.0
0.02637,0.76904,-0.07482,0.0,0.0
-3.04757,2.22452,-2.19228,0.0,0.0
-4.75684,1.45472,-3.22889,0.0,0.0
